xi,f(xi),L(xi)
-8,-288,-288
-7.667,-242.407,-242.518
-7.333,-201.481,-201.526
-7,-165,-165.071
-6.667,-132.741,-132.82
-6.333,-104.481,-104.481
-6,-80,-80.0074
-5.667,-59.074,-59.0884
-5.333,-41.481,-41.4544
-5,-27,-26.9876
-4.667,-15.407,-15.407
-4.333,-6.481,-6.46648
-4,0,0.00392652
-3.667,4.259,4.25736
-3.333,6.519,6.51984
-3,7,7
-2.667,5.926,5.92877
-2.333,3.519,3.51823
-2,-0,0.00437591
-1.667,-4.407,-4.39709
-1.333,-9.481,-9.481
-1,-15,-14.995
-0.667,-20.741,-20.7318
-0.333,-26.481,-26.4865
0,-32,-32.0022
0.333,-37.074,-37.074
0.667,-41.481,-41.4919
1,-45,-45.0068
1.333,-47.407,-47.4113
1.667,-48.481,-48.4851
2,-48,-48
2.333,-45.741,-45.7409
2.667,-41.481,-41.4715
3,-35,-34.9968
3.333,-26.074,-26.0866
3.667,-14.481,-14.481
4,0,-0.0261586
4.333,17.593,17.5338
4.667,38.519,38.4962
5,63,62.9711
5.333,91.259,91.259
5.667,123.519,123.717
6,160,160.419
